name,sku,subtitle,description,category1,category2,category3,image,ribbon,ribbonColor,weight,price,recommended_price,quantity,enabled,taxClassCode,shipping_freight,fixed_shipping_rate_only,shippingType,shippingMethodMarkup,shippingFlatRate,shippingDisabledMethods,shippingEnabledMethods,upc,brand,seo_title,seo_description,product_url,product_id
Adhesive Dressing | 5cm x 10m,"23271",,"<p><u>About</u></p><ul><li>Adhesive Dressing Is a cotton pre-taping underwrap with a hypoallergenic adhesive for sensitive skin. Designed to be wrapped under sport tapes and adhesive bandages to prevent friction and chaffing. Most commonly used in conjunction with Elastoplast Elastic Adhesive Bandage or Elastoplast Rigid Strapping Tape.</li></ul><p><u><span style=""color: rgb(31, 73, 125);""><strong>Features</strong></span></u></p><ul><li>Adhesive Dressing is made with a porous cotton construction that allows the skin to breathe freely. With a wave construction backing paper, removal is easy, quick, and painless. Also great for securing pads, ice packs, shin guards and socks in place.</li><li>Adhesive Dressing for sensitive skin allows firmer, stronger, stickier bandaging to be placed over the top without worrying about rashes and other skin conditions.</li><li>Apply prior to taping when using rubber zinc oxide coated tapes and 
bandages. Common areas of application are ankles, knees and shoulders</li></ul>",Athlete Wellness,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1646550509.jpg,,,0.00,399.0,,,yes,default,0.00,no,GLOBAL_METHODS,0.00,0.00,,,,,,,https://fluviumwear.com/#!/Adhesive-Dressing-5cm-x-10m/p/235074134,235074134
Anjan Raman | 1 Hour,"23255",,"<p><strong><span style=""color: rgb(31, 73, 125);""><u>About</u></span></strong><u></u></p><ul><li>Anjan Raman a veteran wrestler and Jiujitsu athlete has been dominating the amateur MMA circuit. Having represented India in Asian Jiujitsu tournaments he is one of the top contenders for MMA in India</li><li>Highly Skilled in Jiu Jitsu and Wrestling</li><li>Great Conditioning</li></ul><p><u><strong><span style=""color: rgb(31, 73, 125);"">Session Highlights</span></strong></u></p><ul><li>Functional Training</li><li>Body Weight Sport Specific</li></ul><p><u><strong><span style=""color: rgb(31, 73, 125);"">Certifications</span></strong></u></p><ul><li>Fast Paced Session</li><li>Cardio Based</li></ul><p><u><strong><span style=""color: rgb(31, 73, 125);"">Records & Accomplishments</span></strong></u></p><ul><li>Amateur MMA 3-0-0</li><li>JAI Jiu Jitsu Nationals 1 Gold 1 Silver</li><li>2 time Sub Continentals Silver Medalist</li><li>Asian indoor games 10th rank in BJJ</li><li>Asian beach games and world championship participant BJJ</li><li>Combat carnival – BJJ Advanced Champion</li><li>Mud wrestling over 20 bouts</li><li>WAKO Karnataka state kickboxing gold, 2016</li><li>Mysore Dhussera Kushti Participant</li></ul>",Virtual Privates & Seminars,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1512408627.jpg,,,,1 000.0,,,no,default,0.00,no,GLOBAL_METHODS,0.00,0.00,,,,,,,https://fluviumwear.com/#!/Anjan-Raman-1-Hour/p/210211547,210211547
Artist Athlete Collaboration: Captain Crazy Navy Blue Tee,"00007",,"<p><strong><u><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Details</span></span></u></strong>
</p><ul>
	<li>Fluvium has developed the <strong><em>Artist Athlete Collaboration (AAC) Series</em></strong> to showcase artists, both accomplished and unknown who inspire our generation & constantly push their creative boundaries through their art, be it music, picture or dance. As part of the AAC, the artists & athletes are made to meet, brainstorm & draw inspiration from each other to invent ideas & designs that embodies a part of themselves to inspire our culture as athletes & artists are meant to do.</li>
	<li><strong><em><a href=""https://fluviumwear.com/srikant-sekhar"" target=""_blank""><span style=""color: rgb(0, 0, 0);"">Athlete: Srikant Sekhar</span></a></em></strong><strong><em> </em></strong><span class=""redactor-invisible-space""><span class=""redactor-invisible-space"">is a pro MMA fighter, fighting out of Indian Combat Sports Academy. With an MMA Record of 5-4-1, he is making waves in the Indian MMA community. He is one of the only athlete in the country to win nationals in Kick Boxing, BJJ & Muay Thai in one year.</span></span></li>
	<li><span class=""redactor-invisible-space""><span class=""redactor-invisible-space""><strong><em><a href=""https://fluviumwear.com/aashna-aasif"" target=""_blank""><span style=""color: rgb(0, 0, 0);"">Artist: Aashna Aasif</span></a> </em></strong><span class=""redactor-invisible-space""><em> </em>is an Indian artist, born in Bhopal, Madhya Pradesh. Aashna creates artwork that invokes feelings of wonder and excitement and offers a visual poetry that stays embedded in the viewer’s mind.<span class=""redactor-invisible-space""> Aashna creates visionary art that speaks to the viewer in a strong yet entrancing way. The artist accomplishes an artistic effort to depict the inner world of the psyche, using fantastic. Metaphysical and surrealistic subject matter<span class=""redactor-invisible-space""></span></span></span></span></span></li>
</ul><p><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Features</span></span></strong></u>
</p><ul>
	<li>An ergonomic design constructed for comfort & motion.</li>
	<li><span></span>100 % cotton bio washed thus minimizing color fading and providing a softer feel.</li>
	<li>Antimicrobial</li>
	<li>Fully sublimated printing that will never crack, peel or fade</li>
	<li><span style=""color: rgb(184, 204, 228);""><strong><span style=""color: rgb(192, 80, 77);"">MADE IN INDIA.</span></strong></span></li></ul><p><img src=""https://s3.amazonaws.com/images.ecwid.com/images/wysiwyg/product/14404144/142725761/1561859358980303085737/AAC_Youtube_png""><span></span><br></p>",Apparel,AAC Collection,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1208168907.jpg,,,0.00,899.0,,,yes,default,0.00,yes,FREE_SHIPPING,0.00,0.00,,,,,Artist Athlete Collaboration: Captain Crazy Tee,"Fluvium has developed the Artist Athlete Collaboration (AAC) Series to showcase artists, both accomplished and unknown who inspire our generation & constantly push their creative boundaries through their art, be it music, picture or dance. The artists & athletes are made to meet & draw inspiration from each other to invent ideas & designs that embodies a part of themselves.",https://fluviumwear.com/#!/Artist-Athlete-Collaboration-Captain-Crazy-Navy-Blue-Tee/p/142725761,142725761
Artist Athlete Collaboration: Captain Crazy Tee | Beetroot Red and Grey,"23279",,"<p><strong><u><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Details</span></span></u></strong>
</p><ul><li>Fluvium has developed the <strong><em>Artist Athlete Collaboration (AAC) Series</em></strong>
 to showcase artists, both accomplished and unknown who inspire our 
generation & constantly push their creative boundaries through their
 art, be it music, picture or dance. As part of the AAC, the artists 
& athletes are made to meet, brainstorm & draw inspiration from 
each other to invent ideas & designs that embodies a part of 
themselves to inspire our culture as athletes & artists are meant to
 do.</li><li><strong><em><a href=""https://fluviumwear.com/srikant-sekhar"" target=""_blank""><span style=""color: rgb(0, 0, 0);"">Athlete: Srikant Sekhar</span></a></em></strong><strong><em> </em></strong><span class=""redactor-invisible-space""><span class=""redactor-invisible-space"">is
 a pro MMA fighter, fighting out of Indian Combat Sports Academy. With 
an MMA Record of 5-4-1, he is making waves in the Indian MMA community. 
He is one of the only athlete in the country to win nationals in Kick 
Boxing, BJJ & Muay Thai in one year.</span></span></li><li><span class=""redactor-invisible-space""><span class=""redactor-invisible-space""><strong><em><a href=""https://fluviumwear.com/aashna-aasif"" target=""_blank""><span style=""color: rgb(0, 0, 0);"">Artist: Aashna Aasif</span></a> </em></strong><span class=""redactor-invisible-space""><em> </em>is
 an Indian artist, born in Bhopal, Madhya Pradesh. Aashna creates 
artwork that invokes feelings of wonder and excitement and offers a 
visual poetry that stays embedded in the viewer’s mind.  Aashna creates visionary art that speaks to the viewer in a strong yet 
entrancing way. The artist accomplishes an artistic effort to depict the
 inner world of the psyche, using fantastic. Metaphysical and 
surrealistic subject matter</span></span></span></li></ul><p><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Features</span></span></strong></u>
</p><ul><li>An ergonomic design constructed for comfort & motion.</li><li>Premium Bamboo Fabric</li><li>Antimicrobial</li><li>Fully sublimated printing that will never crack, peel or fade</li><li><span style=""color: rgb(184, 204, 228);""><strong><span style=""color: rgb(192, 80, 77);"">MADE IN INDIA.</span></strong></span></li></ul><img src=""https://s3.amazonaws.com/images.ecwid.com/images/wysiwyg/product/14404144/142725761/1561859358980303085737/AAC_Youtube_png"">",Apparel,AAC Collection,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1826627058.jpg,,,0.00,899.0,,,yes,default,0.00,no,GLOBAL_METHODS,0.00,0.00,,,,,,,https://fluviumwear.com/#!/Artist-Athlete-Collaboration-Captain-Crazy-Tee-Beetroot-Red-and-Grey/p/266774835,266774835
Artist Athlete Collaboration: Himanshu Kaushik x Rishi Seth | Premium Bamboo Fabric,"23275",,"<p><u><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;""><strong>Details</strong></span></span></u></p><ul><li>Fluvium has developed the <em>Artist Athlete Collaboration (AAC) Series</em> to showcase artists, both accomplished and unknown who inspire our generation & constantly push their creative boundaries through their art, be it music, picture or dance. As part of the AAC, the artists & athletes are made to meet, brainstorm & draw inspiration from each other to invent ideas & designs that embodies a part of themselves to inspire our culture as athletes & artists are meant to do.</li><li><em>Athlete: Himanshu Kaushik </em><span class=""redactor-invisible-space"">is a pro MMA fighter, fighting out of Delhi Wushu Academy. With an MMA Record of 5-4, and expertise in Karate and Wushu he has really made a name for himself in the MMA community. One of the the few Indian fighters fighting out of the prestigious One Championship, he has really helped grow the sport in India!</span></li><li><span class=""redactor-invisible-space""><span class=""redactor-invisible-space""><em>Artist: Rishi Seth </em><span class=""redactor-invisible-space""><em></em>works for Tata Consultancy during the day, and side by side works on creating poems based on activities around his life.<span class=""redactor-invisible-space""></span></span></span></span></li></ul><p><u><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;""><strong>Features</strong></span></span></u></p><ul><li>An ergonomic design constructed for comfort & motion.</li><li>Premium Bamboo Fabric</li><li>Antimicrobial</li><li>Fully sublimated printing that will never crack, peel or fade</li><li><span style=""color: rgb(184, 204, 228);""><span style=""color: rgb(192, 80, 77);""><strong>MADE IN INDIA</strong>.</span></span></li></ul><p><img src=""https://s3.amazonaws.com/images.ecwid.com/images/wysiwyg/product/14404144/142725761/1561859358980303085737/AAC_Youtube_png"" ""=""""></p>",Apparel,AAC Collection,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1743796877.jpg,,,0.00,899.0,,,yes,default,0.00,no,GLOBAL_METHODS,0.00,0.00,,,,,,,https://fluviumwear.com/#!/Artist-Athlete-Collaboration-Himanshu-Kaushik-x-Rishi-Seth-Premium-Bamboo-Fabric/p/250269774,250269774
Brazilian Jiu Jitsu Belts Kids: Green,"23381",,"<p><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Details</span></span></strong></u></p><ul><li>The <em><strong>BJJ Belts</strong> are </em>durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. </li><li>Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, the belt is built to maintain its shape and color longer than a standard belt.  The pearl weave material allows the belt to be tied easier and stay tied.</li></ul><p style=""text-align: justify;""><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Features</span></span></strong></u><br></p><ul><li>Lightweight 550 gram, 100% Cotton pearl-weave fabric. </li><li>Competition Legal (IBJJF, UAEJJF)</li><li>Size : A1 to A5 </li><li>Buy the same size BJJ belt as your BJJ Gi size </li></ul>",Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4138092534.jpg,,,0.50,995.0,,,yes,default,0.00,yes,FREE_SHIPPING,0.00,0.00,,,,,Brazilian Jiu Jitsu Pearl Weave Belts: Black,"The BJJ / Jiu Jitsu Pearl Weave Belts are durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. The pearl weave material allows the belt to be tied easier and stay tied.",https://fluviumwear.com/#!/Brazilian-Jiu-Jitsu-Belts-Kids-Green/p/631530365,631530365
Brazilian Jiu Jitsu Belts Kids: Green-Black,"23382",,"<p><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Details</span></span></strong></u></p><ul><li>The <em><strong>BJJ Belts</strong> are </em>durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. </li><li>Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, the belt is built to maintain its shape and color longer than a standard belt.  The pearl weave material allows the belt to be tied easier and stay tied.</li></ul><p style=""text-align: justify;""><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Features</span></span></strong></u><br></p><ul><li>Lightweight 550 gram, 100% Cotton pearl-weave fabric. </li><li>Competition Legal (IBJJF, UAEJJF)</li><li>Size : A1 to A5 </li><li>Buy the same size BJJ belt as your BJJ Gi size </li></ul>",Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4138060698.jpg,,,0.50,995.0,,,yes,default,0.00,yes,FREE_SHIPPING,0.00,0.00,,,,,Brazilian Jiu Jitsu Pearl Weave Belts: Black,"The BJJ / Jiu Jitsu Pearl Weave Belts are durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. The pearl weave material allows the belt to be tied easier and stay tied.",https://fluviumwear.com/#!/Brazilian-Jiu-Jitsu-Belts-Kids-Green-Black/p/631533855,631533855
Brazilian Jiu Jitsu Belts Kids: Green-White,"23380",,"<p><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Details</span></span></strong></u></p><ul><li>The <em><strong>BJJ Belts</strong> are </em>durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. </li><li>Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, the belt is built to maintain its shape and color longer than a standard belt.  The pearl weave material allows the belt to be tied easier and stay tied.</li></ul><p style=""text-align: justify;""><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Features</span></span></strong></u><br></p><ul><li>Lightweight 550 gram, 100% Cotton pearl-weave fabric. </li><li>Competition Legal (IBJJF, UAEJJF)</li><li>Size : A1 to A5 </li><li>Buy the same size BJJ belt as your BJJ Gi size </li></ul>",Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4138092529.jpg,,,0.50,995.0,,,yes,default,0.00,yes,FREE_SHIPPING,0.00,0.00,,,,,Brazilian Jiu Jitsu Pearl Weave Belts: Black,"The BJJ / Jiu Jitsu Pearl Weave Belts are durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. The pearl weave material allows the belt to be tied easier and stay tied.",https://fluviumwear.com/#!/Brazilian-Jiu-Jitsu-Belts-Kids-Green-White/p/631537374,631537374
Brazilian Jiu Jitsu Belts Kids: Grey,"23371",,"<p><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Details</span></span></strong></u></p><ul><li>The <em><strong>BJJ Pearl Weave Belts</strong> are </em>durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. </li><li>Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, the belt is built to maintain its shape and color longer than a standard belt.  The pearl weave material allows the belt to be tied easier and stay tied.</li></ul><p style=""text-align: justify;""><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Features</span></span></strong></u><br></p><ul><li>Lightweight 550 gram, 100% Cotton pearl-weave fabric. </li><li>Competition Legal (IBJJF, UAEJJF)</li><li>Size : A1 to A5 </li><li>Buy the same size BJJ belt as your BJJ Gi size </li></ul>",Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4138077568.jpg,,,0.50,995.0,,,yes,default,0.00,yes,FREE_SHIPPING,0.00,0.00,,,,,Brazilian Jiu Jitsu Pearl Weave Belts: Black,"The BJJ / Jiu Jitsu Pearl Weave Belts are durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. The pearl weave material allows the belt to be tied easier and stay tied.",https://fluviumwear.com/#!/Brazilian-Jiu-Jitsu-Belts-Kids-Grey/p/631526382,631526382
Brazilian Jiu Jitsu Belts Kids: Grey-Black,"23373",,"<p><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Details</span></span></strong></u></p><ul><li>The <em><strong>BJJ Pearl Weave Belts</strong> are </em>durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. </li><li>Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, the belt is built to maintain its shape and color longer than a standard belt.  The pearl weave material allows the belt to be tied easier and stay tied.</li></ul><p style=""text-align: justify;""><u><strong><span style=""color: rgb(23, 54, 93);""><span style=""font-size: 16px;"">Features</span></span></strong></u><br></p><ul><li>Lightweight 550 gram, 100% Cotton pearl-weave fabric. </li><li>Competition Legal (IBJJF, UAEJJF)</li><li>Size : A1 to A5 </li><li>Buy the same size BJJ belt as your BJJ Gi size </li></ul>",Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4138077603.jpg,,,0.50,995.0,,,yes,default,0.00,yes,FREE_SHIPPING,0.00,0.00,,,,,Brazilian Jiu Jitsu Pearl Weave Belts: Black,"The BJJ / Jiu Jitsu Pearl Weave Belts are durable, affordable and traditional. They represent the hours, blood, tears and sweat spent on the mats since you've started your BJJ journey. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. The pearl weave material allows the belt to be tied easier and stay tied.",https://fluviumwear.com/#!/Brazilian-Jiu-Jitsu-Belts-Kids-Grey-Black/p/631530360,631530360
