name,slug,optionValue,variantSku,description,variantPrice,variantTaxCategory,variantStockOnHand,variantTrackInventory,assets,channelCode,category,subcategory,brand
137 Degrees Almond Drink Unsweetened,137-degrees-almond-drink-unsweetened,1L,137D01,"<ul><li> Almond freshly squeezed from 100% California non-gO whole almonds. A 
healthy drink alternative for vegans and people who are lactose 
intolerant.

</li><li> Pure Vegetarian, free from Carrageenan, Gluten, Dairy & Soya

</li><li> No Preservatives added

</li><li> Non Dairy Milk

</li></ul>",450,GST12,0,TRUE,137-degrees-almond-drink-unsweetened-1l-non-dairy-vegan-lactose-free-gluten-free.jpg,stalks-n-spice,"Bakery, Snacks & Dry Fruits","Almond, Coconut & Soy Milk",137-degree
2M Cocoa Premium Milk Compound,2m-cocoa-premium-milk-compound,500gm,2MC002,"<p>2M Cocoa premium Milk Compound flavored confectioner. Coating, Bloomer offers a wide variety of compound coatings made with specialty vegetable fats to optimize.</p><ul><li> Our Premium milk coatings have shown to be much appreciated milk chocolate re-placers</li><li>This is a Vegetarian product.</li><li>Premium milk compound calcium health supplements</li><li><span class=""a-list-item"">Expiry: Best before 12 months from packaging</span></li></ul>",150,GST12,0,TRUE,2m-cocoa-premium-milk-compound-500gm.jpg,stalks-n-spice,"Bakery, Snacks & Dry Fruits",Choco Chips & Compound,2M Cocoa
2m Cocoa Premium Dark Compound (CP-11),2m-cocoa-premium-dark-compound-(cp-11),500gm,2MC003,"<p><span></span>2M is a  range of dark compounds are produced from the best. They provide dark coatings with supreme palmkearnel fats and high cocoa contents</p><ul><li><span class=""a-list-item"">A chocolate flavored confectioner. Coating. Bloomer offers a wide variety of compound coatings made with specialty vegetable fats to optimize.</span></li><li><span class=""a-list-item"">Premium milk compound calcium health supplements</span></li><li><span class=""a-list-item"">Expiry: best before 12 months from packaging</span></li></ul>",105,GST5,0,TRUE,2m-cocoa-premium-dark-compound-cp-11-500g.jpg,stalks-n-spice,"Bakery, Snacks & Dry Fruits",Choco Chips & Compound,2M Cocoa
2m Cocoa Premium Dark Compound (CP-15),2m-cocoa-premium-dark-compound-(cp-15),500gm,2MC004,"<ul><li><span class=""a-list-item"">2m's range of dark compounds are produced from the best. They provide dark coatings with supreme palmkearnel fats and high cocoa contents</span></li><li><span class=""a-list-item"">A chocolate flavored confectioner. Coating. Blommer offers a wide variety of compound coatings made with specialty vegetable fats to optimize.</span></li><li><span class=""a-list-item"">Premium milk compound calcium health supplements</span></li><li><span class=""a-list-item"">Expiry: best before 12 months from packaging</span></li></ul>",115,GST5,0,TRUE,2m-cocoa-premium-dark-compound-cp-15-500g.jpg,stalks-n-spice,"Bakery, Snacks & Dry Fruits",Choco Chips & Compound,2M Cocoa
2m Cocoa Premium Dark Compound (CP-18),2m-cocoa-premium-dark-compound-(cp-18),500gm,2MC005,"<ul><li><span class=""a-list-item"">2m's range of dark compounds are produced from the best. They provide dark coatings with supreme palmkearnel fats and high cocoa contents</span></li><li><span class=""a-list-item"">A chocolate flavored confectioner. Coating. Blommer offers a wide variety of compound coatings made with specialty vegetable fats to optimize.</span></li><li><span class=""a-list-item"">Premium milk compound calcium health supplements</span></li><li><span class=""a-list-item"">Expiry: best before 12 months from packaging</span></li></ul>",115,GST5,0,TRUE,2m-cocoa-premium-dark-compound-cp-18-500g.jpg,stalks-n-spice,"Bakery, Snacks & Dry Fruits",Choco Chips & Compound,2M Cocoa
2m Cocoa Premium White Compound,2m-cocoa-premium-white-compound,500gm,2MC006,"<ul><li><span class=""a-list-item"">Fromm on a a procurement of inputs to final processing and packing, good manufacturing practices are followed to ensure that the products that we supply are of superior quality.</span></li><li><span class=""a-list-item"">Premium white compound chocolate with a strong milky note</span></li><li><span class=""a-list-item"">Kiron premium white compound coating contains non hydrogenated fats.</span></li><li><span class=""a-list-item"">Can be used in Assorted Chocolates, Ganache, Desserts, Cookies, Muffins, etc.</span></li><li><span class=""a-list-item"">Expiry: Best before 12 months from packaging</span></li></ul>",160,GST12,0,TRUE,2m-cocoa-premium-white-compound-500g.jpg,stalks-n-spice,"Bakery, Snacks & Dry Fruits",Choco Chips & Compound,2M Cocoa
ABC Kecap Manis (Sweet Soy Sauce),abc-kecap-manis-(sweet-soy-sauce),600ml,ABC007,"<ul><li> 							Kecap manis is an essential sauce in the Indonesian pantry. It is
 used to add a pleasantly mild sweet and umami flavor in most popular 
Indonesian dishes
							
						</li><li> 							It is also a popular marinade for grilled dishes, such as satay, 
ayam bakar (grilled chicken) and ikan bakar (grilled fish)
							
						</li></ul>",290,GST5,0,TRUE,abc-kecap-manis-sweet-soy-sauce-600-ml.jpg,stalks-n-spice,Sauces & Pastes,"Tomato Sauce,Ketchup & Satchets",ABC
ABC Kecap Manis (Sweet Soy Sauce),abc-kecap-manis-(sweet-soy-sauce),620ml,ABC008,"<ul><li> 							Kecap manis is an essential sauce in the Indonesian pantry. It is
 used to add a pleasantly mild sweet and umami flavor in most popular 
Indonesian dishes
							
						</li><li> 							It is also a popular marinade for grilled dishes, such as satay, 
ayam bakar (grilled chicken) and ikan bakar (grilled fish)
							
						</li></ul>",290,GST5,0,TRUE,abc-kecap-manis-sweet-soy-sauce-620-ml.jpg,stalks-n-spice,Sauces & Pastes,"Tomato Sauce,Ketchup & Satchets",ABC
AI Bayan Tahina Paste,ai-bayan-tahina-paste,650gm,AIB009,"<p>AI Bayan Tahina Paste is a staple Mediterranean food which is commonly used in preparing different Sauces, Dressings for salads, Dips and various delicacies .</p><ul><li>Al Bayan Tahina is pure Sesame paste made from ground Sesame Seeds<span class=""redactor-invisible-space""></span></li><li><span class=""redactor-invisible-space"">This is a vegetarian product</span></li></ul>",515,GST5,0,TRUE,ai-bayan-tahina-paste-650-gm.jpg,stalks-n-spice,Canned Foods,Paste,AI
AI Sayyadi Tahina Paste,ai-sayyadi-tahina-paste,650gm,AIS010,"<p>AI Sayyadi Tahina Paste is a staple Mediterranean food which is commonly used in preparing different Sauces, Dressings for salads, Dips and various delicacies .</p><ul><li>Al Sayyadi Tahina is pure Sesame paste made from ground Sesame Seeds<span class=""redactor-invisible-space""></span></li><li><span class=""redactor-invisible-space"">This is a vegetarian product</span></li></ul>",545,GST5,0,TRUE,ai-sayyadi-tahina-paste-650-gm.jpg,stalks-n-spice,Canned Foods,Paste,AI
Aachi Chilli Powder,aachi-chilli-powder,500gm,AAC011,"<p>Aachi Chilli Powder is selected from the field, cleaned, powdered and packed hygienically with the best quality. Aachi chilli powder helps to increase the shelf life and keep the aroma for long time. It gives more spicy and tasty to your favourite dishes.</p>",200,GST5,0,TRUE,aachi-chilli-powder-500gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Chilli Powder,aachi-chilli-powder,200gm,AAC012,"<p>Aachi Chilli powder is the best quality Red Chilli is choose from the field, cleaned, powdered and packed hygienically. The Packing is tamper proof that helps to increase the shelf life and keep the aroma for long time!</p><ul><li>This is a Vegetarian product.</li><li>Used in any types dishes and salads </li><li>Gives the best color and the taste to the food.</li></ul>",55,GST5,0,TRUE,aachi-chilli-powder-200g.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
Aachi Compounded Powder (asafoetida),aachi-compounded-powder-(asafoetida),50gm,AAC013,"<p>Aachi Asafoetida taste is sour and acrid however, when fried evenly, it adds superb aroma and taste. It makes the dishes easier to digest</p>",60,GST12,0,TRUE,aachi-compounded-powder-asafoetida-50gm.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Powdered Spices,Aachi
